Log Entry : 9:22:37 AM Friday, October 1, 2021 : Batch Lab Start 1/1 files ...
Log Entry : 11:36:52 AM Friday, October 1, 2021 : End Header Data ...
Log Entry : 11:36:52 AM Friday, October 1, 2021 : Start Save Detail ...
Log Entry : 11:36:52 AM Friday, October 1, 2021 : End Save Detail ...
Log Entry : 11:38:21 AM Friday, October 1, 2021 : >> End File Name : NAH-DISK-03-2020.xlsx
Log Entry : 11:38:21 AM Friday, October 1, 2021 : Batch Lab Complete ...
Log Entry : 11:44:00 AM Friday, October 1, 2021 : Batch Lab Start 1/1 files ...
Log Entry : 11:44:01 AM Friday, October 1, 2021 : >> Hos : (001071600-โรงพยาบาลน่าน) File Name : NAH-DISK-03-2020.xlsx
Log Entry : 11:44:02 AM Friday, October 1, 2021 : Start Read File ... 
Log Entry : 11:44:02 AM Friday, October 1, 2021 : End Read File ...
Log Entry : 11:44:02 AM Friday, October 1, 2021 : Start Header Data ...
Log Entry : 11:44:09 AM Friday, October 1, 2021 : End Header Data ...
Log Entry : 11:44:09 AM Friday, October 1, 2021 : Start Save Detail ...
Log Entry : 11:44:09 AM Friday, October 1, 2021 : End Save Detail ...
Log Entry : 11:44:14 AM Friday, October 1, 2021 : >> End File Name : NAH-DISK-03-2020.xlsx
Log Entry : 11:44:14 AM Friday, October 1, 2021 : Batch Lab Complete ...
Log Entry : 11:54:31 AM Friday, October 1, 2021 : Batch Lab Start 1/1 files ...
Log Entry : 11:54:31 AM Friday, October 1, 2021 : >> Hos : (001071600-โรงพยาบาลน่าน) File Name : NAH-DISK-03-2020.xlsx
Log Entry : 11:54:32 AM Friday, October 1, 2021 : Start Read File ... 
Log Entry : 11:54:32 AM Friday, October 1, 2021 : End Read File ...
Log Entry : 11:54:32 AM Friday, October 1, 2021 : Start Header Data ...
Log Entry : 11:54:38 AM Friday, October 1, 2021 : End Header Data ...
Log Entry : 11:54:38 AM Friday, October 1, 2021 : Start Save Detail ...
Log Entry : 11:54:38 AM Friday, October 1, 2021 : End Save Detail ...
Log Entry : 11:54:38 AM Friday, October 1, 2021 : >> End File Name : NAH-DISK-03-2020.xlsx
Log Entry : 11:54:38 AM Friday, October 1, 2021 : Batch Lab Complete ...
Log Entry : 11:57:03 AM Friday, October 1, 2021 : Batch Lab Start 1/1 files ...
Log Entry : 11:57:03 AM Friday, October 1, 2021 : >> Hos : (001071600-โรงพยาบาลน่าน) File Name : NAH-DISK-03-2020.xlsx
Log Entry : 11:57:04 AM Friday, October 1, 2021 : Start Read File ... 
Log Entry : 11:57:04 AM Friday, October 1, 2021 : End Read File ...
Log Entry : 11:57:04 AM Friday, October 1, 2021 : Start Header Data ...
Log Entry : 11:57:11 AM Friday, October 1, 2021 : End Header Data ...
Log Entry : 11:57:11 AM Friday, October 1, 2021 : Start Save Detail ...
Log Entry : 11:57:11 AM Friday, October 1, 2021 : End Save Detail ...
Log Entry : 11:57:11 AM Friday, October 1, 2021 : >> End File Name : NAH-DISK-03-2020.xlsx
Log Entry : 11:57:11 AM Friday, October 1, 2021 : Batch Lab Complete ...
Log Entry : 12:11:04 PM Friday, October 1, 2021 : Batch Lab Start 1/1 files ...
Log Entry : 12:11:04 PM Friday, October 1, 2021 : >> Hos : (001071600-โรงพยาบาลน่าน) File Name : NAH-DISK-03-2020.xlsx
Log Entry : 12:11:05 PM Friday, October 1, 2021 : Start Read File ... 
Log Entry : 12:11:05 PM Friday, October 1, 2021 : End Read File ...
Log Entry : 12:11:05 PM Friday, October 1, 2021 : Start Header Data ...
Log Entry : 12:12:02 PM Friday, October 1, 2021 : End Header Data ...
Log Entry : 12:12:02 PM Friday, October 1, 2021 : Start Save Detail ...
Log Entry : 12:12:02 PM Friday, October 1, 2021 : End Save Detail ...
Log Entry : 12:12:02 PM Friday, October 1, 2021 : >> End File Name : NAH-DISK-03-2020.xlsx
Log Entry : 12:12:02 PM Friday, October 1, 2021 : Batch Lab Complete ...
Log Entry : 1:01:05 PM Friday, October 1, 2021 : Batch Lab Start 1/1 files ...
Log Entry : 1:01:05 PM Friday, October 1, 2021 : >> Hos : (001071600-โรงพยาบาลน่าน) File Name : NAH-DISK-03-2020.xlsx
Log Entry : 1:01:06 PM Friday, October 1, 2021 : Start Read File ... 
Log Entry : 1:01:06 PM Friday, October 1, 2021 : End Read File ...
Log Entry : 1:01:06 PM Friday, October 1, 2021 : Start Header Data ...
Log Entry : 1:02:14 PM Friday, October 1, 2021 : End Header Data ...
Log Entry : 1:02:14 PM Friday, October 1, 2021 : Start Save Detail ...
Log Entry : 1:02:14 PM Friday, October 1, 2021 : End Save Detail ...
Log Entry : 1:02:14 PM Friday, October 1, 2021 : >> End File Name : NAH-DISK-03-2020.xlsx
Log Entry : 1:02:14 PM Friday, October 1, 2021 : Batch Lab Complete ...
Log Entry : 1:03:11 PM Friday, October 1, 2021 : Batch Lab Start 1/1 files ...
Log Entry : 1:03:11 PM Friday, October 1, 2021 : >> Hos : (001071600-โรงพยาบาลน่าน) File Name : NAH-DISK-03-2020.xlsx
Log Entry : 1:03:12 PM Friday, October 1, 2021 : Start Read File ... 
Log Entry : 1:03:12 PM Friday, October 1, 2021 : End Read File ...
Log Entry : 1:03:12 PM Friday, October 1, 2021 : Start Header Data ...
Log Entry : 1:03:18 PM Friday, October 1, 2021 : End Header Data ...
Log Entry : 1:03:18 PM Friday, October 1, 2021 : Start Save Detail ...
Log Entry : 1:03:18 PM Friday, October 1, 2021 : End Save Detail ...
Log Entry : 1:03:18 PM Friday, October 1, 2021 : >> End File Name : NAH-DISK-03-2020.xlsx
Log Entry : 1:03:18 PM Friday, October 1, 2021 : Batch Lab Complete ...
Log Entry : 1:04:03 PM Friday, October 1, 2021 : Batch Lab Start 1/1 files ...
Log Entry : 1:04:04 PM Friday, October 1, 2021 : >> Hos : (001071600-โรงพยาบาลน่าน) File Name : NAH-DISK-03-2020.xlsx
Log Entry : 1:04:05 PM Friday, October 1, 2021 : Start Read File ... 
Log Entry : 1:04:05 PM Friday, October 1, 2021 : End Read File ...
Log Entry : 1:04:05 PM Friday, October 1, 2021 : Start Header Data ...
Log Entry : 1:10:33 PM Friday, October 1, 2021 : Batch Lab Start 1/1 files ...
Log Entry : 1:10:34 PM Friday, October 1, 2021 : >> Hos : (001071600-โรงพยาบาลน่าน) File Name : NAH-DISK-03-2020.xlsx
Log Entry : 1:10:34 PM Friday, October 1, 2021 : Start Read File ... 
Log Entry : 1:10:34 PM Friday, October 1, 2021 : End Read File ...
Log Entry : 1:10:34 PM Friday, October 1, 2021 : Start Header Data ...
Log Entry : 1:11:30 PM Friday, October 1, 2021 : Row : 4 Detail : Unable to cast object of type 'System.DBNull' to type 'System.DateTime'.
