Log Entry : 5:54:37 PM Wednesday, June 8, 2022 : Batch Lab Start 1/1 files ...
Log Entry : 6:15:05 PM Wednesday, June 8, 2022 : Start Header Data ...
Log Entry : 6:15:05 PM Wednesday, June 8, 2022 : End Header Data ...
Log Entry : 6:15:05 PM Wednesday, June 8, 2022 : Start Save NARST List ...
Log Entry : 6:15:06 PM Wednesday, June 8, 2022 : End Save NARST List ...
Log Entry : 6:15:07 PM Wednesday, June 8, 2022 : >> End File Name : 1_มค.NPH_who.xlsx
Log Entry : 6:15:07 PM Wednesday, June 8, 2022 : Batch Lab Complete ...
Log Entry : 6:19:59 PM Wednesday, June 8, 2022 : Batch Lab Start 1/1 files ...
Log Entry : 6:20:00 PM Wednesday, June 8, 2022 : >> Hos : (001172200-โรงพยาบาลมงกุฎวัฒนะ) File Name : W0422THA.MGH
Log Entry : 6:20:01 PM Wednesday, June 8, 2022 : Read File (.DBF) ...
Log Entry : 6:20:10 PM Wednesday, June 8, 2022 : End Read File (.DBF) ...
Log Entry : 6:20:11 PM Wednesday, June 8, 2022 : >> End File Name : W0422THA.MGH
Log Entry : 6:20:11 PM Wednesday, June 8, 2022 : Batch Lab Complete ...
Log Entry : 6:22:04 PM Wednesday, June 8, 2022 : Batch Lab Start 1/1 files ...
Log Entry : 6:22:05 PM Wednesday, June 8, 2022 : >> Hos : (001172200-โรงพยาบาลมงกุฎวัฒนะ) File Name : W0422THA.MGH
Log Entry : 6:22:06 PM Wednesday, June 8, 2022 : Read File (.DBF) ...
Log Entry : 6:22:08 PM Wednesday, June 8, 2022 : End Read File (.DBF) ...
Log Entry : 6:22:08 PM Wednesday, June 8, 2022 : >> End File Name : W0422THA.MGH
Log Entry : 6:22:08 PM Wednesday, June 8, 2022 : Batch Lab Complete ...
Log Entry : 6:23:34 PM Wednesday, June 8, 2022 : Batch Lab Start 1/1 files ...
Log Entry : 6:23:34 PM Wednesday, June 8, 2022 : >> Hos : (001172200-โรงพยาบาลมงกุฎวัฒนะ) File Name : W0422THA.MGH
Log Entry : 6:23:36 PM Wednesday, June 8, 2022 : Read File (.DBF) ...
Log Entry : 6:23:38 PM Wednesday, June 8, 2022 : End Read File (.DBF) ...
Log Entry : 6:23:38 PM Wednesday, June 8, 2022 : >> End File Name : W0422THA.MGH
Log Entry : 6:23:38 PM Wednesday, June 8, 2022 : Batch Lab Complete ...
Log Entry : 6:42:23 PM Wednesday, June 8, 2022 : Batch Lab Start 2/2 files ...
Log Entry : 6:42:23 PM Wednesday, June 8, 2022 : >> Hos : (001067300-โรงพยาบาลอุตรดิตถ์) File Name : UTHZONEL.DBF
Log Entry : 6:42:25 PM Wednesday, June 8, 2022 : Read File (.DBF) ...
Log Entry : 6:49:35 PM Wednesday, June 8, 2022 : Batch Lab Start 2/2 files ...
Log Entry : 6:49:36 PM Wednesday, June 8, 2022 : >> Hos : (001067300-โรงพยาบาลอุตรดิตถ์) File Name : UTHZONEL.DBF
Log Entry : 6:49:37 PM Wednesday, June 8, 2022 : Read File (.DBF) ...
Log Entry : 6:50:12 PM Wednesday, June 8, 2022 : End Read File (.DBF) ...
Log Entry : 6:50:12 PM Wednesday, June 8, 2022 : >> End File Name : UTHZONEL.DBF
Log Entry : 6:50:12 PM Wednesday, June 8, 2022 : >> Hos : (001160000-โรงพยาบาลเซนต์หลุยส์) File Name : SLH_MIC-04-2020.DBF
Log Entry : 6:50:13 PM Wednesday, June 8, 2022 : Read File (.DBF) ...
Log Entry : 6:50:19 PM Wednesday, June 8, 2022 : End Read File (.DBF) ...
Log Entry : 6:50:19 PM Wednesday, June 8, 2022 : >> End File Name : SLH_MIC-04-2020.DBF
Log Entry : 6:50:20 PM Wednesday, June 8, 2022 : Batch Lab Complete ...
Log Entry : 6:59:53 PM Wednesday, June 8, 2022 : Batch Lab Start 1/1 files ...
Log Entry : 6:59:53 PM Wednesday, June 8, 2022 : >> Hos : (001067300-โรงพยาบาลอุตรดิตถ์) File Name : UTHZONEL.DBF
Log Entry : 6:59:56 PM Wednesday, June 8, 2022 : Read File (.DBF) ...
Log Entry : 7:07:29 PM Wednesday, June 8, 2022 : Batch Lab Start 2/2 files ...
Log Entry : 7:07:30 PM Wednesday, June 8, 2022 : >> Hos : (001067300-โรงพยาบาลอุตรดิตถ์) File Name : UTHZONEL.DBF
Log Entry : 7:07:31 PM Wednesday, June 8, 2022 : Read File (.DBF) ...
Log Entry : 7:07:48 PM Wednesday, June 8, 2022 : End Read File (.DBF) ...
Log Entry : 7:07:49 PM Wednesday, June 8, 2022 : >> End File Name : UTHZONEL.DBF
Log Entry : 7:07:49 PM Wednesday, June 8, 2022 : >> Hos : (001160000-โรงพยาบาลเซนต์หลุยส์) File Name : SLH_MIC-04-2020.DBF
Log Entry : 7:07:50 PM Wednesday, June 8, 2022 : Read File (.DBF) ...
Log Entry : 7:07:54 PM Wednesday, June 8, 2022 : End Read File (.DBF) ...
Log Entry : 7:07:54 PM Wednesday, June 8, 2022 : >> End File Name : SLH_MIC-04-2020.DBF
Log Entry : 7:07:54 PM Wednesday, June 8, 2022 : Batch Lab Complete ...
Log Entry : 7:13:14 PM Wednesday, June 8, 2022 : Batch Lab Start 2/2 files ...
Log Entry : 7:13:15 PM Wednesday, June 8, 2022 : >> Hos : (001067300-โรงพยาบาลอุตรดิตถ์) File Name : UTHZONEL.DBF
Log Entry : 7:13:17 PM Wednesday, June 8, 2022 : Read File (.DBF) ...
Log Entry : 7:13:46 PM Wednesday, June 8, 2022 : End Read File (.DBF) ...
Log Entry : 7:13:53 PM Wednesday, June 8, 2022 : >> End File Name : UTHZONEL.DBF
Log Entry : 7:13:56 PM Wednesday, June 8, 2022 : >> Hos : (001160000-โรงพยาบาลเซนต์หลุยส์) File Name : SLH_MIC-04-2020.DBF
Log Entry : 7:13:59 PM Wednesday, June 8, 2022 : Read File (.DBF) ...
Log Entry : 7:14:11 PM Wednesday, June 8, 2022 : End Read File (.DBF) ...
Log Entry : 7:14:11 PM Wednesday, June 8, 2022 : >> End File Name : SLH_MIC-04-2020.DBF
Log Entry : 7:14:11 PM Wednesday, June 8, 2022 : Batch Lab Complete ...
Log Entry : 7:15:55 PM Wednesday, June 8, 2022 : Batch Lab Start 2/2 files ...
Log Entry : 7:15:56 PM Wednesday, June 8, 2022 : >> Hos : (001067300-โรงพยาบาลอุตรดิตถ์) File Name : UTHZONEL.DBF
Log Entry : 7:15:57 PM Wednesday, June 8, 2022 : Read File (.DBF) ...
Log Entry : 7:16:27 PM Wednesday, June 8, 2022 : End Read File (.DBF) ...
Log Entry : 7:16:27 PM Wednesday, June 8, 2022 : >> End File Name : UTHZONEL.DBF
Log Entry : 7:16:27 PM Wednesday, June 8, 2022 : >> Hos : (001160000-โรงพยาบาลเซนต์หลุยส์) File Name : SLH_MIC-04-2020.DBF
Log Entry : 7:16:28 PM Wednesday, June 8, 2022 : Read File (.DBF) ...
Log Entry : 7:18:16 PM Wednesday, June 8, 2022 : End Read File (.DBF) ...
Log Entry : 7:18:16 PM Wednesday, June 8, 2022 : >> End File Name : SLH_MIC-04-2020.DBF
Log Entry : 7:18:16 PM Wednesday, June 8, 2022 : Batch Lab Complete ...
Log Entry : 7:21:44 PM Wednesday, June 8, 2022 : Batch Lab Start 1/1 files ...
Log Entry : 7:21:44 PM Wednesday, June 8, 2022 : >> Hos : (001160000-โรงพยาบาลเซนต์หลุยส์) File Name : SLH_MIC-04-2020.DBF
Log Entry : 7:21:46 PM Wednesday, June 8, 2022 : Read File (.DBF) ...
Log Entry : 7:25:35 PM Wednesday, June 8, 2022 : End Read File (.DBF) ...
Log Entry : 7:25:35 PM Wednesday, June 8, 2022 : >> End File Name : SLH_MIC-04-2020.DBF
Log Entry : 7:25:35 PM Wednesday, June 8, 2022 : Batch Lab Complete ...
Log Entry : 7:25:57 PM Wednesday, June 8, 2022 : Batch Lab Start 1/1 files ...
Log Entry : 7:25:58 PM Wednesday, June 8, 2022 : >> Hos : (001160000-โรงพยาบาลเซนต์หลุยส์) File Name : SLH_MIC-04-2020.DBF
Log Entry : 7:25:59 PM Wednesday, June 8, 2022 : Read File (.DBF) ...
Log Entry : 7:31:48 PM Wednesday, June 8, 2022 : Batch Lab Start 1/1 files ...
Log Entry : 7:31:49 PM Wednesday, June 8, 2022 : >> Hos : (001160000-โรงพยาบาลเซนต์หลุยส์) File Name : SLH_MIC-04-2020.DBF
Log Entry : 7:31:51 PM Wednesday, June 8, 2022 : Read File (.DBF) ...
Log Entry : 7:38:21 PM Wednesday, June 8, 2022 : End Read File (.DBF) ...
Log Entry : 7:38:21 PM Wednesday, June 8, 2022 : >> End File Name : SLH_MIC-04-2020.DBF
Log Entry : 7:38:21 PM Wednesday, June 8, 2022 : Batch Lab Complete ...
