Log Entry : 9:46:34 AM Thursday, June 2, 2022 : Batch Lab Start 1/1 files ...
Log Entry : 1:35:26 PM Thursday, June 2, 2022 : >> End File Name : test_whonet.xlsx
Log Entry : 1:35:26 PM Thursday, June 2, 2022 : Batch Lab Complete ...
Log Entry : 2:08:22 PM Thursday, June 2, 2022 : Batch Lab Start 1/1 files ...
Log Entry : 2:08:23 PM Thursday, June 2, 2022 : >> Hos : (001378000-โรงพยาบาลมหาราชนครเชียงใหม่  มหาวิทยาลัยเชียงใหม่) File Name : CMH_Other_01-12-2021.xlsx
Log Entry : 2:08:24 PM Thursday, June 2, 2022 : Start Read File ... 
Log Entry : 2:08:29 PM Thursday, June 2, 2022 : End Read File ...
Log Entry : 2:08:29 PM Thursday, June 2, 2022 : Start Header Data ...
Log Entry : 2:11:04 PM Thursday, June 2, 2022 : Batch Lab Start 1/1 files ...
Log Entry : 2:11:05 PM Thursday, June 2, 2022 : >> Hos : (001378000-โรงพยาบาลมหาราชนครเชียงใหม่  มหาวิทยาลัยเชียงใหม่) File Name : CMH_Other_01-12-2021.xlsx
Log Entry : 2:11:06 PM Thursday, June 2, 2022 : Start Read File ... 
Log Entry : 2:11:10 PM Thursday, June 2, 2022 : End Read File ...
Log Entry : 2:11:10 PM Thursday, June 2, 2022 : Start Header Data ...
Log Entry : 2:14:04 PM Thursday, June 2, 2022 : End Header Data ...
Log Entry : 2:14:04 PM Thursday, June 2, 2022 : Start Save NARST List ...
Log Entry : 2:14:11 PM Thursday, June 2, 2022 : End Save NARST List ...
Log Entry : 2:14:11 PM Thursday, June 2, 2022 : >> End File Name : CMH_Other_01-12-2021.xlsx
Log Entry : 2:14:11 PM Thursday, June 2, 2022 : Batch Lab Complete ...
