INFO  2023-05-29 10:26:12,489 RoleDataService::? - Get_Role_List : MethodStart
INFO  2023-05-29 10:54:25,484 RoleDataService::? - Get_Role_List : MethodStart
INFO  2023-05-29 10:54:25,588 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2023-05-29 10:54:25,627 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2023-05-29 10:54:25,750 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2023-05-29 10:56:26,524 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2023-05-29 10:56:26,680 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2023-05-29 10:56:26,756 RoleDataService::? - Get_Role_List : MethodStart
INFO  2023-05-29 10:56:26,904 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2023-05-29 10:56:26,964 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2023-05-29 10:56:27,067 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2023-05-29 11:37:01,199 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2023-05-29 11:37:02,507 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2023-05-29 11:37:02,609 RoleDataService::? - Get_Role_List : MethodStart
INFO  2023-05-29 11:37:02,950 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2023-05-29 11:37:03,043 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2023-05-29 11:37:03,226 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2023-05-29 11:51:29,135 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2023-05-29 11:51:30,147 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2023-05-29 11:51:30,259 RoleDataService::? - Get_Role_List : MethodStart
INFO  2023-05-29 11:51:30,577 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2023-05-29 11:51:30,674 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2023-05-29 11:51:30,844 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2023-05-29 13:44:41,025 RoleDataService::? - Get_Role_List : MethodStart
INFO  2023-05-29 13:44:42,213 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2023-05-29 13:45:02,060 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2023-05-29 13:45:02,436 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2023-05-29 13:45:02,513 RoleDataService::? - Get_Role_List : MethodStart
INFO  2023-05-29 13:45:02,669 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2023-05-29 13:45:02,720 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2023-05-29 13:45:02,864 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2023-05-29 14:24:51,418 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2023-05-29 14:24:52,760 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2023-05-29 14:24:52,874 RoleDataService::? - Get_Role_List : MethodStart
INFO  2023-05-29 14:24:53,325 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2023-05-29 14:24:53,424 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2023-05-29 14:24:53,593 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2023-05-29 14:26:55,808 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2023-05-29 14:26:56,788 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2023-05-29 14:26:56,863 RoleDataService::? - Get_Role_List : MethodStart
INFO  2023-05-29 14:26:57,145 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2023-05-29 14:26:57,218 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2023-05-29 14:26:57,378 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2023-05-29 14:29:40,531 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2023-05-29 14:29:41,600 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2023-05-29 14:29:41,692 RoleDataService::? - Get_Role_List : MethodStart
INFO  2023-05-29 14:29:41,978 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2023-05-29 14:29:42,045 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2023-05-29 14:29:42,222 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2023-05-29 14:40:22,622 RoleDataService::? - Get_Role_List : MethodStart
INFO  2023-05-29 14:40:23,704 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2023-05-29 14:40:30,958 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2023-05-29 14:40:31,408 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2023-05-29 14:40:31,474 RoleDataService::? - Get_Role_List : MethodStart
INFO  2023-05-29 14:40:31,641 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2023-05-29 14:40:31,708 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2023-05-29 14:40:31,858 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2023-05-29 14:41:34,622 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2023-05-29 14:41:34,818 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2023-05-29 14:41:34,885 RoleDataService::? - Get_Role_List : MethodStart
INFO  2023-05-29 14:41:35,016 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2023-05-29 14:41:35,073 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2023-05-29 14:41:35,193 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2023-05-29 15:24:19,718 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2023-05-29 15:24:20,691 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2023-05-29 15:24:20,762 RoleDataService::? - Get_Role_List : MethodStart
INFO  2023-05-29 15:24:21,103 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2023-05-29 15:24:21,165 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2023-05-29 15:24:21,329 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2023-05-29 15:29:07,683 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2023-05-29 15:29:08,846 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2023-05-29 15:29:08,930 RoleDataService::? - Get_Role_List : MethodStart
INFO  2023-05-29 15:29:09,290 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2023-05-29 15:29:09,359 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2023-05-29 15:29:09,541 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2023-05-29 15:33:19,723 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2023-05-29 15:33:21,084 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2023-05-29 15:33:21,170 RoleDataService::? - Get_Role_List : MethodStart
INFO  2023-05-29 15:33:21,825 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2023-05-29 15:33:21,890 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2023-05-29 15:33:22,044 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2023-05-29 15:33:41,248 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2023-05-29 15:33:41,660 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2023-05-29 15:33:41,724 RoleDataService::? - Get_Role_List : MethodStart
INFO  2023-05-29 15:33:41,851 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2023-05-29 15:33:41,897 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2023-05-29 15:33:42,017 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2023-05-29 15:35:01,838 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2023-05-29 15:35:03,473 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2023-05-29 15:35:03,555 RoleDataService::? - Get_Role_List : MethodStart
INFO  2023-05-29 15:35:03,858 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2023-05-29 15:35:03,926 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2023-05-29 15:35:04,088 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2023-05-29 15:40:05,905 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2023-05-29 15:40:06,976 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2023-05-29 15:40:07,052 RoleDataService::? - Get_Role_List : MethodStart
INFO  2023-05-29 15:40:08,548 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2023-05-29 15:40:08,611 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2023-05-29 15:40:08,768 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2023-05-29 15:42:43,479 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2023-05-29 15:42:44,600 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2023-05-29 15:42:44,679 RoleDataService::? - Get_Role_List : MethodStart
INFO  2023-05-29 15:42:45,020 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2023-05-29 15:42:45,087 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2023-05-29 15:42:45,229 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2023-05-29 15:46:03,584 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2023-05-29 15:46:05,061 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2023-05-29 15:46:05,161 RoleDataService::? - Get_Role_List : MethodStart
INFO  2023-05-29 15:46:05,446 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2023-05-29 15:46:05,533 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2023-05-29 15:46:05,688 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2023-05-29 15:51:51,982 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2023-05-29 15:51:53,332 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2023-05-29 15:51:53,419 RoleDataService::? - Get_Role_List : MethodStart
INFO  2023-05-29 15:51:53,720 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2023-05-29 15:51:53,796 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2023-05-29 15:51:53,971 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2023-05-29 15:53:49,084 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2023-05-29 15:53:50,192 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2023-05-29 15:53:50,271 RoleDataService::? - Get_Role_List : MethodStart
INFO  2023-05-29 15:53:50,558 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2023-05-29 15:53:50,616 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2023-05-29 15:53:50,751 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2023-05-29 16:07:05,741 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2023-05-29 16:07:06,873 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2023-05-29 16:07:06,980 RoleDataService::? - Get_Role_List : MethodStart
INFO  2023-05-29 16:07:07,293 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2023-05-29 16:07:07,408 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2023-05-29 16:07:07,614 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2023-05-29 16:07:09,688 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2023-05-29 16:07:09,801 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2023-05-29 16:07:09,889 RoleDataService::? - Get_Role_List : MethodStart
INFO  2023-05-29 16:07:09,996 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2023-05-29 16:07:10,077 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2023-05-29 16:07:10,212 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2023-05-29 16:09:55,197 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2023-05-29 16:09:55,360 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2023-05-29 17:10:19,587 RoleDataService::? - Get_Role_List : MethodStart
INFO  2023-05-29 17:10:20,603 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2023-05-29 17:50:50,896 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2023-05-29 17:50:52,196 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2023-05-29 17:50:52,303 RoleDataService::? - Get_Role_List : MethodStart
INFO  2023-05-29 17:50:52,712 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2023-05-29 17:50:52,805 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2023-05-29 17:50:52,941 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2023-05-29 19:50:38,499 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2023-05-29 19:50:39,587 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2023-05-29 19:50:39,761 RoleDataService::? - Get_Role_List : MethodStart
INFO  2023-05-29 19:50:40,141 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2023-05-29 19:50:40,246 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2023-05-29 19:50:40,421 ParameterService::? - Get_Parameter_List : MethodFinish
